ID,Record ID,User ID,Charging Pile ID,Request ID,Start Time,End Time,Volume,Charging Fee,Service Fee,Total Fee
,CD1686029318095,2,B,e27c5034-8e61-4cb7-8e26-adfb7fceaf69,Tue Jun 06 2023 13:28:10 GMT+0800 (China Standard Time),Tue Jun 06 2023 13:28:38 GMT+0800 (China Standard Time),0.23065833333333333,0.23065833333333333,0.18452666666666667,0.415185
,CD1686030041699,3,B,d8386a1b-ad29-45ec-bb80-762ea84fd8f1,Tue Jun 06 2023 13:38:33 GMT+0800 (China Standard Time),Tue Jun 06 2023 13:40:41 GMT+0800 (China Standard Time),1,1,0.8,1.8
,CD1686030109355,1,A,5bd08be8-2197-4ca8-83b5-49bb13c2b612,Tue Jun 06 2023 13:21:41 GMT+0800 (China Standard Time),Tue Jun 06 2023 13:41:49 GMT+0800 (China Standard Time),1,1,0.8,1.8
,CD1686030731823,2,A,6b1e120f-2399-4ca6-b25b-1cc8e346bfdd,Tue Jun 06 2023 13:43:05 GMT+0800 (China Standard Time),Tue Jun 06 2023 13:52:11 GMT+0800 (China Standard Time),1,1,0.8,1.8
,CD1686031750048,3,B,f928eb67-fee8-465c-981c-36549827fca6,Tue Jun 06 2023 13:48:24 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:09:10 GMT+0800 (China Standard Time),10,10,8,18
,CD1686033071486,2,C,821da8b8-c103-41e3-9c38-396af1ef8b9a,Tue Jun 06 2023 14:30:55 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:31:11 GMT+0800 (China Standard Time),0.030492777777777782,0.030492777777777782,0.024394222222222227,0.054887000000000005
,CD1686033118175,2,C,d1254796-a490-4908-b95f-75e54f22bb27,Tue Jun 06 2023 14:31:25 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:31:58 GMT+0800 (China Standard Time),0.06381666666666667,0.06381666666666667,0.05105333333333334,0.11487000000000001
,CD1686033216147,2,C,bcc65a2a-7875-4947-8912-8c1530d3bdd2,Tue Jun 06 2023 14:32:42 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:33:36 GMT+0800 (China Standard Time),0.1,0.1,0.08000000000000002,0.18000000000000002
,CD1686033216155,2,C,bcc65a2a-7875-4947-8912-8c1530d3bdd2,Tue Jun 06 2023 14:32:42 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:33:36 GMT+0800 (China Standard Time),0.1,0.1,0.08000000000000002,0.18000000000000002
,CD1686034124999,2,C,046bd834-59d2-4f83-b54b-46aea3f6fd66,Tue Jun 06 2023 14:47:49 GMT+0800 (China Standard Time),Tue Jun 06 2023 14:48:44 GMT+0800 (China Standard Time),0.1,0.1,0.08000000000000002,0.18000000000000002
